Intent,Örnek Cümle,,,
Greeting,Nasılsınız?,,,
PrizrenTourism,Gezilecek yerler nerede?,,,
PrizrenTourism,Prizren’de müze var mı?,,,
Reject,Vazgeçtim,,,
Goodbye,İyi günler,,,
Transport,Otobüs var mı?,,,
PrizrenTourism,Kaleye nasıl çıkarım?,,,
EventInfo,Etkinlik takvimi var mı?,,,
Transport,Otobüs var mı?,,,
Reject,Vazgeçtim,,,
Goodbye,Şimdilik hoşçakal,,,
Transport,Priştine’den Prizren’e nasıl giderim?,,,
Greeting,"Hey, merhaba!",,,
Greeting,Merhaba,,,
PrizrenTourism,Kaleye nasıl çıkarım?,,,
EventInfo,Etkinlik takvimi var mı?,,,
FoodAdvice,Prizren’de ne yenir?,,,
Reject,İstemiyorum,,,
Reject,Şimdilik gerek yok,,,
EventInfo,Bu ay hangi etkinlikler var?,,,
PrizrenTourism,Kaleye nasıl çıkarım?,,,
Reject,"Hayır, teşekkürler",,,
Transport,Ulaşım nasıl sağlanır?,,,
PrizrenTourism,Sinan Paşa Camii hakkında bilgi,,,
FoodAdvice,Meşhur yemekleri hangileri?,,,
PrizrenTourism,Tarihi yerler neresi?,,,
Goodbye,Kendine iyi bak,,,
Transport,Trenle gitmek mümkün mü?,,,
Greeting,İyi günler,,,
Greeting,İyi günler,,,
Reject,Vazgeçtim,,,
Transport,Otobüs var mı?,,,
Greeting,Selam,,,
PrizrenTourism,Sinan Paşa Camii hakkında bilgi,,,
Greeting,Nasılsınız?,,,
FoodAdvice,Tatlı olarak ne önerirsin?,,,
FoodAdvice,Prizren’de ne yenir?,,,
EventInfo,Prizren’de bu hafta ne var?,,,
FoodAdvice,Tatlı olarak ne önerirsin?,,,
PrizrenTourism,Prizren'de nereleri gezebilirim?,,,
Transport,Trenle gitmek mümkün mü?,,,
Goodbye,Yarın görüşmek üzere,,,
EventInfo,Festival olacak mı?,,,
Goodbye,Hoşçakal,,,
FoodAdvice,Yemek önerin var mı?,,,
EventInfo,Bu ay hangi etkinlikler var?,,,
PrizrenTourism,Prizren’de müze var mı?,,,
EventInfo,Prizren’de bu hafta ne var?,,,
Transport,En hızlı ulaşım yolu nedir?,,,
EventInfo,Etkinlik takvimi var mı?,,,
EventInfo,Konser var mı?,,,
Goodbye,Kendine iyi bak,,,
Greeting,"Selam, size bir sorum olacak",,,
Greeting,Selam,,,
Transport,Otobüs var mı?,,,
Greeting,Nasılsınız?,,,
EventInfo,Prizren’de bu hafta ne var?,,,
PrizrenTourism,Sinan Paşa Camii hakkında bilgi,,,
Greeting,Merhaba,,,
Reject,"Hayır, teşekkürler",,,
FoodAdvice,Prizren’de ne yenir?,,,
Reject,Vazgeçtim,,,
FoodAdvice,En iyi köfte nerede?,,,
Reject,İlgilenmiyorum,,,
Goodbye,Bay bay,,,
EventInfo,Festival olacak mı?,,,
Reject,İlgilenmiyorum,,,
PrizrenTourism,Gezilecek yerler nerede?,,,
Greeting,Nasılsınız?,,,
FoodAdvice,Yemek önerin var mı?,,,
PrizrenTourism,Prizren’de müze var mı?,,,
FoodAdvice,Prizren’de ne yenir?,,,
EventInfo,Konser var mı?,,,
Goodbye,Bay bay,,,
PrizrenTourism,Tarihi yerler neresi?,,,
PrizrenTourism,Prizren'de nereleri gezebilirim?,,,
EventInfo,Etkinlik takvimi var mı?,,,
PrizrenTourism,Prizren’de müze var mı?,,,
Transport,Priştine’den Prizren’e nasıl giderim?,,,
Transport,Ulaşım nasıl sağlanır?,,,
Reject,Şimdilik gerek yok,,,
PrizrenTourism,Gezilecek yerler nerede?,,,
FoodAdvice,Tatlı olarak ne önerirsin?,,,
Reject,Vazgeçtim,,,
FoodAdvice,Tatlı olarak ne önerirsin?,,,
Greeting,Selam,,,
Reject,Şimdilik gerek yok,,,
Greeting,Merhaba,,,
Greeting,"Selam, size bir sorum olacak",,,
Transport,Priştine’den Prizren’e nasıl giderim?,,,
Reject,İstemiyorum,,,
Transport,En hızlı ulaşım yolu nedir?,,,
Greeting,Nasılsınız?,,,
PrizrenTourism,Kaleye nasıl çıkarım?,,,
Transport,Ulaşım nasıl sağlanır?,,,
Reject,Bunu almak istemiyorum,,,
Reject,İstemiyorum,,,
Reject,İlgilenmiyorum,,,
Reject,Şimdilik gerek yok,,,
FoodAdvice,Tatlı olarak ne önerirsin?,,,
EventInfo,Bu ay hangi etkinlikler var?,,,
PrizrenTourism,Prizren'de nereleri gezebilirim?,,,
Goodbye,İyi günler,,,
Greeting,İyi günler,,,
Greeting,"Hey, merhaba!",,,
Reject,"Hayır, teşekkürler",,,
Reject,İstemiyorum,,,
Reject,Bunu almak istemiyorum,,,
PrizrenTourism,Sinan Paşa Camii hakkında bilgi,,,
Goodbye,Bay bay,,,
FoodAdvice,Yemek önerin var mı?,,,
Reject,Vazgeçtim,,,
Goodbye,İyi günler,,,
PrizrenTourism,Prizren’de müze var mı?,,,
Greeting,"Hey, merhaba!",,,
FoodAdvice,En iyi köfte nerede?,,,
FoodAdvice,Meşhur yemekleri hangileri?,,,
EventInfo,Bu ay hangi etkinlikler var?,,,
EventInfo,Prizren’de bu hafta ne var?,,,
FoodAdvice,Tatlı olarak ne önerirsin?,,,
Transport,Priştine’den Prizren’e nasıl giderim?,,,
EventInfo,Konser var mı?,,,
Goodbye,Yarın görüşmek üzere,,,
Transport,Trenle gitmek mümkün mü?,,,
Goodbye,Yarın görüşmek üzere,,,
EventInfo,Festival olacak mı?,,,
FoodAdvice,Prizren’de ne yenir?,,,
